Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,27.3,36.9,17.4,22.5,11.5,19.0,46.9,40.2,34.6,35.6,6.0,16.4
2,8.1,20.7,9.2,18.7,24.0,20.8,31.6,47.2,22.0,27.4,46.1,21.0
3,23.2,47.7,44.5,4.8,8.7,0.3,5.4,43.5,5.4,43.5,4.0,5.1
4,19.3,10.1,33.5,42.7,40.9,13.2,32.6,34.2,2.6,34.6,28.3,34.2
5,20.6,39.6,19.3,2.8,2.0,32.7,22.8,23.6,38.4,26.0,32.2,7.2
6,1.2,20.6,49.3,3.6,31.3,17.8,16.2,30.3,28.7,13.1,36.6,27.6
7,20.2,34.3,39.1,42.6,10.3,47.9,45.5,37.2,49.1,35.7,9.7,21.5
8,10.6,46.8,29.4,23.6,38.7,4.1,9.1,35.5,39.9,16.3,49.5,1.7
9,7.9,38.4,14.8,42.6,13.5,16.9,41.1,20.0,35.8,35.4,41.2,36.3
10,21.6,23.6,19.9,18.9,12.4,48.1,2.6,2.0,22.3,35.6,20.8,37.2
11,44.9,26.2,40.0,39.0,42.8,3.8,5.1,14.8,49.1,43.9,32.4,7.5
12,1.7,39.6,14.9,0.3,48.3,35.8,9.0,18.9,39.2,2.4,32.2,31.8
13,33.5,35.3,24.6,6.7,20.9,20.3,23.4,12.1,15.7,30.7,14.4,44.4
14,41.7,21.2,6.9,12.5,19.1,31.6,2.3,45.1,48.5,16.1,17.7,38.9
15,25.9,46.7,43.2,34.7,25.4,48.1,11.7,24.1,5.2,7.3,44.3,8.6
16,31.1,10.3,33.0,28.3,29.5,7.4,28.9,14.0,23.8,43.6,6.0,5.0
17,38.8,19.9,31.3,43.8,30.5,31.6,15.5,17.1,28.7,20.4,39.7,21.7
18,48.8,4.3,7.4,10.1,46.4,5.1,11.4,46.1,45.7,49.9,43.9,46.2
19,40.2,33.0,15.5,46.5,15.2,25.0,5.2,49.7,33.8,41.7,8.0,48.0
20,38.5,0.9,31.9,14.9,7.3,6.2,16.9,11.7,48.2,0.1,30.8,32.7
21,23.9,38.0,26.4,15.4,10.7,5.2,48.1,12.5,5.8,17.5,0.7,23.8
22,33.9,0.1,14.3,22.7,22.4,22.4,46.6,36.3,40.1,45.4,4.6,6.2
23,19.4,34.8,25.5,10.8,39.5,23.7,10.9,4.0,4.2,12.2,49.3,19.4
24,29.6,0.2,26.3,31.6,23.5,21.9,3.7,49.0,12.6,24.3,10.2,16.0
25,36.3,44.7,12.3,9.1,36.8,32.9,3.2,18.0,31.1,21.6,11.1,37.1
26,41.5,11.8,7.9,48.6,4.3,13.7,32.7,35.9,3.9,1.6,25.6,15.8
27,47.3,33.4,15.3,4.6,43.1,0.3,25.7,49.5,36.0,32.8,0.7,27.0
28,18.4,41.0,27.7,27.9,49.6,15.9,30.3,46.2,48.6,26.9,49.3,1.7
29,27.7,,33.5,30.9,8.3,21.7,15.9,39.0,43.2,12.7,32.0,23.7
30,41.5,,45.6,31.8,43.9,43.2,0.8,14.1,32.5,49.4,45.0,49.9
31,39.7,,33.6,,31.1,,20.4,43.1,,17.3,,27.9
